route,date_year,date_month,date_day,season,date_month_exact,date_day_exact,date_descriptive,Weekday,Itinerary_Day,parish,location_descriptive,location_exact,location_latitude,location_longitude,source_page,source,notes,notes_additional,Start_Point,Route_Point1,Route_Point2,Route_Point3,Route_Point4,Route_Point5,End_Point,RoutePointDistance_Miles,Cumlative_distance,StartTime_24,Time_exact,ArriveTime_24,Time_exact,Cumulative_time,Weather,Conveyance,Conveyance_exact,HM_Sight1,HM_Sight2,HM_Sight3,HM_Sight4,HM_Comment,NN Journal Notes,Editorial_Note,Image1,Image2,Image3,Traveler,Companion,Ocean,Continent,Region_Nation,City
2,1857,2,25,,,,,,,,,,,,,,,,,,,"""St. PeterS""",,,,,,,,1500,TRUE,3,,Foot,TRUE,St. Peter's,,,,"�Front view disappointing. But grand approach�  dome not as wonderful as St: Sophia�s.  ""Exhausted at 3. PM.""",,"Walked from Campidoglio probably to Tiber, then up the river and across to St. Peter's.  ",,,,,,,,,
2,1857,2,25,,,,,,,,,,,,,,,,,,,,Hotel de Minerva,,,,,,,1800,TRUE,6,,Foot,TRUE,,,,,"""Dined at 6 & to bed""",,,,,,,,,,,
3,1857,2,26,,,,,Thursday,2,,Hotel de Minerva,TRUE,,,,,,,Hotel de Minerva, ,,,,,,0,,900,FALSE,,,0,,,,,,,,,,"Exhausted from his 24 hour journey from Naples and afternoon of touring, HM probably slept in or relaxed waiting for Torloni's bank to open, probably at 10am.",,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,"""Torloni's, banker""",,,,,,0.8,0.8,,,1000,FALSE,,,Foot,FALSE,"""Torloni's"" Bank",,,,"""to find out about S[am] Shaw, or letters.  Learnt nothing.""",,"HM refers to the Torlonia family, whose bank, according Murray's Hand Book, was located in Via Condotti, just off Piazza di Spagna.",,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,"""Capitol & Coliseum",,,,,1.5,2.3,,,1100,FALSE,,,Foot,FALSE ,"""Coliseum""",,,,"""Coliseum like great hollow among hills. Hopper of Greylock.  Clope of concentric ruins overgrown. mountainous.""",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foot,,,"""Museum of Capitol. Hall of Emperors""",,,"""'That Tiberius? He dont look so bad at all'�It was he.  A look of sickly evel,�intellect without manliness & sadness without goodness.  Great brain overrefinements. Solitude.""",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Dying Gladiator.""",,"""Shows that humanity existed amid the barberousness of the Roman time, as it now among Christian barberousness",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Antinous""","""beautiful""",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,"""Pincian Hill""",,,,2,4.3,,,1500,FALSE,,,Foot,TRUE,"""gardens & statuary overlooking Piazza del Populo""",,,,"""(Music on Pincian) Fashion & Rank�Preposterous posturing within stone's throw of Antinous. How little influence has truth on the world!�Fashion evrywhere ridiculous, but most so in Rome. No place where lonely man will feel more lonely than in Rome. (or Jerusalem).""",,"Since HM mentions the gardens overlooking Piazza del Popolo, he probably reached Pincian Hill by retracing his route back to and up the Spanish Steps, then further up on Vialle dellaTrinit� dei Monti to Piazza the belvedere overlooking Piazza del Popolo.",,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Peter's,,,""" Fine view of St. Peters from Pincian.""",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,"""Cafe Greco""",,,0.5,4.8,,,1700,FALSE,,,Foot,TRUE,,,Caff� Greco,,"""In the evening walked to Cafe Greco in Via Condotti. 'English sculptor' with dirty hands &c. Dense smoke. Rowdy looking chaps. &c",,HM probably retraced his steps back to and down the Spanish Steps.  An alternative route would have been to descend from Pincian Hill to Piazza del Popolo and walked to the Spanish Steps down Via del Babuino.,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,"""Piazza di Espagna""",,,,,,1800,FALSE,,,Foot,TRUE,,,,Spanish Steps,"""Stopped at evening in picture dealers: offered a Cenci for $4. Surprising cheap). Fine lounge in Piazza di Espagna among picutre & curiosity dealers, & in Via Condotti, also""",,,,,,,,,,,
3,1857,2,26,,,,,,,,,,,,,,,,,,,,,,Hotel de Minerva,0.9,5.7,,,1900,FALSE,,,Foot,TRUE,,,,,"""Home & to bed.""",,,,,,,,,,,
